amount,i_amount,result
2000000,71428,false
1000000,41666,false
150000,2500,true
600000,100000,false
50000,1136,false
6666,1666,false
100000,4166,false
500000,8928,false
12000,5014,false
150000,16666,false
20000000,83333,false
200000,15384,false
500000,62500,false
5310,0,true
50000,1923,false
100000,6250,false
55555555,2314814,false
500000,41666,false
100000,25000,false
1800000,64285,false
50000,1718,false
15000,576,false
10000000,10006,false
1500000,20547,false
500000,19230,false
1000000,38461,false
100000,1923,false
2000000,166666,false
500000,71428,false
100000,11111,false
100000,11111,false
600000,23076,false
100000,2127,false
6000,230,false
300000,1063,false
9000,2250,false
25000,240,false
300000,12500,false
300000,12500,false
200000,40000,false
5000000,14970,false
1000000,19230,false
5000000,14970,false
5000000,15197,false
3500000,5012,false
100000,16666,false
3000000,5443,false
500000,968,false
130000,7647,false
200000,9523,false
1400000,196235,false
120000,2790,false
500000,27777,false
60000,15000,false
60000,15000,false
63588,4891,false
50000,224,false
260000,10000,false
500000,10638,false
2000000,42553,false
130000,5799,false
100000,5236,false
120000,4000,false
500000,16666,false
300000,6972,false
1000000,555,false
5000,1250,false
300000,25000,false
250000,8333,false
1000000,5780,false
1000000,5780,false
120000,7965,false
300000,25000,false
120000,31860,false
100000,4172,false
10000,1666,false
59990,9228,false
900000,276920,false
1000000,3257,false
10000,256,false
140000,20000,false
1300000,100000,false
500000,38460,false
500000,38460,false
500000,38460,false
300000,25000,false
150000,20000,false
60000,8571,false
1000000,1000000,false
700000,107692,false
65000,7644,false
1000000,60557,false
500000,95236,false
2000000,36196,false
200000,5000,false
1500000,9012,false
150000,20000,false
700000,38356,false
115000,30320,false
1500000,25295,false
100000,15384,false
300000,5000,false
500000,58820,false
1000000,25640,false
700000,100000,false
200000,33333,false
30000,1640,false
60000,5000,false
50000,370,false
1500000,166666,false
65000,2500,false
500000,57859,false
4200000,23760,false
300000,37500,false
600000,55616,false
200000,29844,true
200000,288,false
800000,1500,false
200000,20512,false
35000,1261,false
50000,950,false
400000,3843,false
800000,28460,false
5000,5000,false
105000,1009,false
105000,2018,false
90000,2244,false
100000,15384,false
130000,16250,false
4000000,4000000,false
100000,8333,false
50000,50000,false
